language,code,efficiency_score
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),73
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000];
 for(int i=0;
i<5000;
i++){nums[i]=i;
} } }",63
JavaScript,console.log(Math.sqrt(16));,100
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}",64
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",77
JavaScript,console.log('Hello  World');,70
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  sum=0;  for(int  i=0;i<10000;i++){sum+=i;}  System.out.println(sum);  }  },70
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5));
 } static int factorial(int n){ return n==0?1:n*factorial(n-1);
 } }",75
Java,"public class Main { public static void main(String[] args) { int i=0;
 while(i<10){System.out.println(i);
i++;
} } }",51
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",55
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000];
 for(int i=0;
i<5000;
i++){nums[i]=i;
} } }",60
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },65
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },96
Python,print('Hello  World'),76
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",66
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(Math.sqrt(16));  }  },89
JavaScript,"let i=0;

while(i<10){console.log(i);
i++;
}",58
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  i=0;  while(i<10){System.out.println(i);i++;}  }  },50
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",55
JavaScript,for(let i=0;i<10;i++){console.log(i);},66
Python,for  i  in  range(10):  print(i),72
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Efficient  code"");  }  }",74
JavaScript,for(let i=0;i<10;i++){console.log(i);},84
Python,"import numpy as np
a=np.arange(10)
print(a)",82
JavaScript,"console.log([...Array(10).keys()]);
",54
JavaScript,function  fact(n){return  n==0?1:n*fact(n-1);},74
Python,"for i in range(10): print(i)
",61
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",78
JavaScript,"console.log('Hello World');
",67
Python,print('Hello  World'),75
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  sum=0;  for(int  i=0;i<10000;i++){sum+=i;}  System.out.println(sum);  }  },80
Python,"a=[]
for i in range(10000): a.append(i)
",66
Python,"from math import sqrt
print(sqrt(16))",77
Python,"x = [i**2 for i in range(10000)]
",48
JavaScript,"console.log(Math.sqrt(16));
",99
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",68
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",61
Python,"from math import sqrt
print(sqrt(16))",73
Python,print([i for i in range(10)]),69
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",69
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",53
Java,"public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } }
",79
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",84
Python,x = [i**2 for i in range(10000)],68
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",74
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },57
Python,"import  numpy  as  np
a=np.arange(10)
print(a)",86
Python,"print([i for i in range(10)])
",65
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",61
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }
",47
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },81
JavaScript,for(let  i=0;i<10;i++){console.log(i);},75
Python,"i=0
while  i<10:
    print(i)
    i+=1",52
Python,x  =  [i**2  for  i  in  range(10000)],58
Python,"a=[]
for i in range(10000): a.append(i)",65
Python,print([i  for  i  in  range(10)]),69
Python,"a=[]
for i in range(10000): a.append(i)",75
Java,"public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } }
",84
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",52
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(factorial(5));  }  static  int  factorial(int  n){  return  n==0?1:n*factorial(n-1);  }  },69
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",77
JavaScript,"let arr=[];

for(let i=0;
i<10000;
i++){arr.push(i);
}",48
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",80
Python,print([i for i in range(10)]),71
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",76
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",69
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},56
JavaScript,"console.log([...Array(10).keys()]);
",60
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }
",70
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",76
Python,"a=[]
for  i  in  range(10000):  a.append(i)",74
Python,"i=0
while  i<10:
    print(i)
    i+=1",82
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",76
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",63
JavaScript,"console.log(Math.sqrt(16));
",81
JavaScript,"let  arr=[];
for(let  i=0;i<10000;i++){arr.push(i);}",48
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  for(int  i=0;i<10;i++)  System.out.println(i);  }  },84
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },93
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",79
Python,for i in range(10): print(i),65
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",72
Python,"from  math  import  sqrt
print(sqrt(16))",84
Python,"import numpy as np
a=np.arange(10)
print(a)
",89
Java,"public class Main { public static void main(String[] args) { for(int i=0;
i<10;
i++) System.out.println(i);
 } }",80
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  for(int  i=0;i<10;i++)  System.out.println(i);  }  },47
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",79
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",64
Python,"print([i for i in range(10)])
",65
JavaScript,"let i=0;

while(i<10){console.log(i);
i++;
}",65
Python,for  i  in  range(10):  print(i),60
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },61
Python,"from math import sqrt
print(sqrt(16))",80
JavaScript,"console.log(Math.sqrt(16));
",93
Python,"x = [i**2 for i in range(10000)]
",80
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",64
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",63
JavaScript,for(let  i=0;i<10;i++){console.log(i);},80
Java,"public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } }
",76
Python,def factorial(n): return  1 if n==0 else n*factorial(n-1),76
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",62
Python,print([i  for  i  in  range(10)]),76
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",73
Python,for  i  in  range(10):  print(i),70
Python,print([i for i in range(10)]),70
Java,"public class Main { public static void main(String[] args) { for(int i=0;
i<10;
i++) System.out.println(i);
 } }",77
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",78
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },77
JavaScript,"let nums=[];

for(let i=0;
i<5000;
i++){nums.push(i);
}",76
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",74
JavaScript,console.log(Math.sqrt(16));,98
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return  res",56
JavaScript,"let arr=[];

for(let i=0;
i<10000;
i++){arr.push(i);
}",64
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",62
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",57
Java,"public class Main { public static void main(String[] args) { int i=0;
 while(i<10){System.out.println(i);
i++;
} } }",66
JavaScript,console.log(Math.sqrt(16));,81
Python,for i in range(10): print(i),54
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",57
Python,"print('Hello World')
",58
JavaScript,"for(let i=0;i<10;i++){console.log(i);}
",84
Python,def factorial(n): return  1 if n==0 else n*factorial(n-1),83
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",45
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",75
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",55
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",74
JavaScript,for(let  i=0;i<10;i++){console.log(i);},73
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",75
Python,"x = [i**2 for i in range(10000)]
",70
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000];
 for(int i=0;
i<5000;
i++){nums[i]=i;
} } }",77
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",80
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}
",85
Python,print('Hello World'),72
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",55
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code"");
 } }",56
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",70
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),70
Java,"public class Main { public static void main(String[] args) { int i=0;
 while(i<10){System.out.println(i);
i++;
} } }",81
Python,"x = [i**2 for i in range(10000)]
",83
JavaScript,"console.log(Math.sqrt(16));
",85
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(Math.sqrt(16));  }  },87
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },85
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }",70
Python,"import numpy as np
a=np.arange(10)
print(a)
",81
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }
",66
Python,"i=0
while i<10:
  print(i)
  i+=1",66
JavaScript,"let i=0;

while(i<10){console.log(i);
i++;
}",57
Python,"import  numpy  as  np
a=np.arange(10)
print(a)",82
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Hello  World"");  }  }",58
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",89
Python,print([i  for  i  in  range(10)]),69
Python,print('Hello World'),60
JavaScript,console.log([...Array(10).keys()]);,68
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },95
JavaScript,for(let  i=0;i<10;i++){console.log(i);},64
JavaScript,console.log('Hello  World');,63
JavaScript,"console.log([...Array(10).keys()]);
",53
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",68
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",78
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",70
JavaScript,"console.log('Hello World');
",70
Python,"a=[]
for i in range(10000): a.append(i)",53
Python,print([i for i in range(10)]),48
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",63
JavaScript,"let nums=[];

for(let i=0;
i<5000;
i++){nums.push(i);
}",82
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",72
JavaScript,"console.log([...Array(10).keys()]);
",57
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",75
JavaScript,"for(let i=0;
i<10;
i++){console.log(i);
}",81
Python,print('Hello World'),67
Python,"i=0
while  i<10:
    print(i)
    i+=1",87
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },61
JavaScript,console.log(Math.sqrt(16));,100
JavaScript,"console.log('Hello World');
",67
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } }
",47
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },70
JavaScript,console.log([...Array(10).keys()]);,48
Python,"i=0
while  i<10:
    print(i)
    i+=1",61
JavaScript,"let arr=[];

for(let i=0;
i<10000;
i++){arr.push(i);
}",83
JavaScript,"let arr=[];

for(let i=0;
i<10000;
i++){arr.push(i);
}",64
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",69
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },64
Java,public class Main { public static void main(String[] args) { int i=0; while(i<10){System.out.println(i);i++;} } },80
Python,"import numpy as np
a=np.arange(10)
print(a)",86
Python,"a=[]
for i in range(10000): a.append(i)",58
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",54
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  i=0;  while(i<10){System.out.println(i);i++;}  }  },75
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",74
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },62
Python,"print('Hello World')
",69
JavaScript,function  fact(n){return  n==0?1:n*fact(n-1);},74
Python,print([i for i in range(10)]),71
Python,print([i  for  i  in  range(10)]),60
Python,"a=[]
for i in range(10000): a.append(i)
",74
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000];
 for(int i=0;
i<5000;
i++){nums[i]=i;
} } }",57
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",49
JavaScript,console.log('Hello  World');,71
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",82
Python,"for i in range(10): print(i)
",52
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",54
JavaScript,"console.log('Hello World');
",67
Java,"public class Main { public static void main(String[] args) { for(int i=0;
i<10;
i++) System.out.println(i);
 } }",85
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",66
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(factorial(5));  }  static  int  factorial(int  n){  return  n==0?1:n*factorial(n-1);  }  },85
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res
",82
Python,print([i  for  i  in  range(10)]),66
JavaScript,"let arr=[];

for(let i=0;
i<10000;
i++){arr.push(i);
}",53
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },92
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),83
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",88
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}",73
Python,"a=[]
for  i  in  range(10000):  a.append(i)",67
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Inefficient  code"");  }  }",51
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}
",54
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",78
Python,"a=[]
for  i  in  range(10000):  a.append(i)",54
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },80
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },72
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),81
Python,"import numpy as np
a=np.arange(10)
print(a)",85
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",78
Java,public class Main { public static void main(String[] args) { int[] arr = new int[10000]; for(int i=0;i<10000;i++){arr[i]=i;} } },77
Python,x = [i**2 for i in range(10000)],75
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}
",81
Python,for i in range(10): print(i),65
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World"");
 } }",64
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",56
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Efficient  code"");  }  }",77
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  for(int  i=0;i<10;i++)  System.out.println(i);  }  },78
Python,"from  math  import  sqrt
print(sqrt(16))",76
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",69
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",67
JavaScript,console.log('Hello  World');,61
JavaScript,"console.log('Hello World');
",77
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),73
JavaScript,console.log('Hello  World');,68
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  i=0;  while(i<10){System.out.println(i);i++;}  }  },78
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",78
Python,"import  numpy  as  np
a=np.arange(10)
print(a)",79
Python,"import numpy as np
a=np.arange(10)
print(a)",79
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},69
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  for(int  i=0;i<10;i++)  System.out.println(i);  }  },78
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Efficient  code"");  }  }",66
JavaScript,"let  x  =  Array.from({length:10000},  (_,i)=>i*i);",67
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}
",75
Python,"i=0
while i<10:
  print(i)
  i+=1
",65
JavaScript,"let  i=0;
while(i<10){console.log(i);i++;}",84
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",72
JavaScript,console.log([...Array(10).keys()]);,83
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },74
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  i=0;  while(i<10){System.out.println(i);i++;}  }  },66
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}
",85
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  arr  =  new  int[10000];  for(int  i=0;i<10000;i++){arr[i]=i;}  }  },70
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }",74
Python,x = [i**2 for i in range(10000)],82
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } }
",61
Python,"print('Hello World')
",66
JavaScript,console.log([...Array(10).keys()]);,72
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",89
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",72
Python,"import numpy as np
a=np.arange(10)
print(a)",84
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",63
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",83
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World"");
 } }",70
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  nums  =  new  int[5000];  for(int  i=0;i<5000;i++){nums[i]=i;}  }  },63
JavaScript,"let  arr=[];
for(let  i=0;i<10000;i++){arr.push(i);}",64
Python,"from  math  import  sqrt
print(sqrt(16))",68
Python,print('Hello World'),68
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",86
Python,"i=0
while i<10:
  print(i)
  i+=1
",83
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",89
Python,print('Hello World'),64
JavaScript,function  fact(n){return  n==0?1:n*fact(n-1);},78
Java,"public class Main { public static void main(String[] args) { System.out.println(""Hello World""); } }
",76
Python,print('Hello  World'),59
Python,"i=0
while  i<10:
    print(i)
    i+=1",67
Python,"i=0
while i<10:
  print(i)
  i+=1
",73
JavaScript,for(let i=0;i<10;i++){console.log(i);},69
Java,"public class Main { public static void main(String[] args) { int[] arr = new int[10000];
 for(int i=0;
i<10000;
i++){arr[i]=i;
} } }",54
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);
",77
Python,"a=[]
for i in range(10000): a.append(i)",71
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  for(int  i=0;i<10;i++)  System.out.println(i);  }  },81
JavaScript,console.log('Hello World');,70
Java,"public class Main { public static void main(String[] args) { int sum=0;
 for(int i=0;
i<10000;
i++){sum+=i;
} System.out.println(sum);
 } }",69
Python,def factorial(n): return  1 if n==0 else n*factorial(n-1),88
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return  res",69
JavaScript,"console.log([...Array(10).keys()]);
",77
JavaScript,"let  nums=[];
for(let  i=0;i<5000;i++){nums.push(i);}",70
Python,for i in range(10): print(i),76
Java,public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return  n==0?1:n*factorial(n-1); } },90
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  i=0;  while(i<10){System.out.println(i);i++;}  }  },76
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",85
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",73
JavaScript,"for(let i=0;
i<10;
i++){console.log(i);
}",67
Python,x  =  [i**2  for  i  in  range(10000)],74
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);
}",68
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",72
Java,"public class Main { public static void main(String[] args) { int[] arr = new int[10000]; for(int i=0;i<10000;i++){arr[i]=i;} } }
",86
Java,"public class Main { public static void main(String[] args) { int i=0;
 while(i<10){System.out.println(i);
i++;
} } }",64
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",86
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code""); } }
",55
JavaScript,"let i=0;
while(i<10){console.log(i);i++;}",78
Python,"from math import sqrt
print(sqrt(16))",77
Python,"a=[]
for i in range(10000): a.append(i)",57
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },52
Python,"print([i for i in range(10)])
",66
Python,"def  fact(n):  res=1
for  i  in  range(2,n+1):  res*=i
return  res",60
Python,x = [i**2 for i in range(10000)],82
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int  sum=0;  for(int  i=0;i<10000;i++){sum+=i;}  System.out.println(sum);  }  },89
JavaScript,"let nums=[];

for(let i=0;
i<5000;
i++){nums.push(i);
}",70
JavaScript,console.log('Hello World');,65
Python,print([i for i in range(10)]),64
Java,"public class Main { public static void main(String[] args) { int[] arr = new int[10000];
 for(int i=0;
i<10000;
i++){arr[i]=i;
} } }",69
JavaScript,"console.log([...Array(10).keys()]);
",62
Python,"a=[]
for i in range(10000): a.append(i)
",77
Java,public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } },57
Java,public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } },95
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }",53
JavaScript,"function fact(n){return n==0?1:n*fact(n-1);}
",51
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }
",69
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(factorial(5));  }  static  int  factorial(int  n){  return  n==0?1:n*factorial(n-1);  }  },79
Python,"a=[]
for i in range(10000): a.append(i)
",64
Java,public class Main { public static void main(String[] args) { for(int i=0;i<10;i++) System.out.println(i); } },66
Python,def factorial(n): return  1 if n==0 else n*factorial(n-1),74
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),70
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",82
Python,for i in range(10): print(i),61
JavaScript,"let  sum=0;
for(let  i=0;i<10000;i++){sum+=i;}",68
Java,"public class Main { public static void main(String[] args) { int[] nums = new int[5000]; for(int i=0;i<5000;i++){nums[i]=i;} } }
",84
Java,"public class Main { public static void main(String[] args) { System.out.println(""Inefficient code"");
 } }",69
JavaScript,"let  x  =  Array.from({length:10000},  (_,i)=>i*i);",52
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code""); } }
",60
JavaScript,"let x = Array.from({length:10000}, (_,i)=>i*i);",52
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},79
Java,"public class Main { public static void main(String[] args) { System.out.println(Math.sqrt(16)); } }
",95
JavaScript,"let arr=[];
for(let i=0;i<10000;i++){arr.push(i);}",76
JavaScript,for(let  i=0;i<10;i++){console.log(i);},74
Python,"def fact(n): res=1
for i in range(2,n+1): res*=i
return res
",64
JavaScript,console.log('Hello World');,72
Python,def  factorial(n):  return  1  if  n==0  else  n*factorial(n-1),88
Python,print([i for i in range(10)]),53
JavaScript,"let sum=0;
for(let i=0;i<10000;i++){sum+=i;}",74
Python,"i=0
while  i<10:
    print(i)
    i+=1",81
Python,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
",90
JavaScript,for(let  i=0;i<10;i++){console.log(i);},77
Java,"public class Main { public static void main(String[] args) { System.out.println(""Efficient code"");
 } }",56
Python,for i in range(10): print(i),82
JavaScript,function fact(n){return  n==0?1:n*fact(n-1);},61
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5));
 } static int factorial(int n){ return n==0?1:n*factorial(n-1);
 } }",86
Python,x = [i**2 for i in range(10000)],81
JavaScript,"console.log([...Array(10).keys()]);
",78
Java,"public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(""Efficient  code"");  }  }",59
JavaScript,"let  i=0;
while(i<10){console.log(i);i++;}",75
JavaScript,console.log('Hello World');,57
JavaScript,"let nums=[];
for(let i=0;i<5000;i++){nums.push(i);}",83
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",92
Python,x = [i**2 for i in range(10000)],81
JavaScript,"console.log([...Array(10).keys()]);
",68
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  System.out.println(Math.sqrt(16));  }  },82
Java,"public class Main { public static void main(String[] args) { System.out.println(factorial(5)); } static int factorial(int n){ return n==0?1:n*factorial(n-1); } }
",79
Python,"i=0
while i<10:
  print(i)
  i+=1",83
JavaScript,console.log([...Array(10).keys()]);,61
JavaScript,"let sum=0;

for(let i=0;
i<10000;
i++){sum+=i;
}",71
JavaScript,"console.log(Math.sqrt(16));
",92
Python,"i=0
while i<10:
  print(i)
  i+=1
",80
JavaScript,console.log('Hello  World');,69
Java,"public class Main { public static void main(String[] args) { int sum=0; for(int i=0;i<10000;i++){sum+=i;} System.out.println(sum); } }
",73
Java,public  class  Main  {  public  static  void  main(String[]  args)  {  int[]  arr  =  new  int[10000];  for(int  i=0;i<10000;i++){arr[i]=i;}  }  },53
